Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
22,"administer highway planning, construction, or maintenance.",Highway Manager,"Administer highway planning, construction, or maintenance.","Various locations including city roads, highways, and state routes across the country",Senior,Construction,"To oversee the development, upkeep, and repair of road networks to ensure efficient transportation infrastructure.",Moderate
23,administer online purchasing systems.,Administering Online Purchasing Systems,"Manage and oversee the online purchasing systems to ensure they function effectively, support business operations, and improve efficiency.",Online (website or platform),Specialist,Retail Trade,To optimize online purchasing systems for better customer experience and operational performance within the company’s e-commerce strategy.,Moderate
24,administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,Educational Administrator,Administer standardized ability and achievement tests to determine students' strengths and areas of need,School,Specialist,Education and Health Services,To evaluate student performance through standardized assessments in order to identify their academic strengths and weaknesses for educational planning.,Moderate
25,"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",Healthcare Practitioner,"Administer treatments or therapies using physical agents like air, heat, cold, water, sound, or ultraviolet light to promote healing.","Clinic, Hospital, Treatment Center",Specialist,Health Care Services,The user was trying to accomplish the treatment of patients using various physical agents for therapeutic purposes.,Moderate
26,"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",Natural Medicine Practitioner,"Administer, dispense, or prescribe natural medicines such as food, botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.","Various settings including but not limited to clinics, hospitals, pharmacies, health stores, etc.",Specialist,Professional Services,To obtain or prescribe natural medicines for patients to improve their health and well-being based on individual needs and conditions.,Moderate
27,"administer, proctor, or score academic or diagnostic assessments.",Assessment Administrator/Proctor,"Administer, proctor, or score academic or diagnostic assessments.","School, testing center, online platforms (if conducted remotely)",Mid-level,Education and Health Services,To evaluate student knowledge and progress through various assessment methods.,Moderate
28,"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",Animal Care Specialist,"Provide advice on sanitary measures, feeding, general care, medical conditions, or treatment options to animal owners.","Vary depending on the type of organization (e.g., pet store, farm, veterinarian clinic)",Specialist,Other Services,Animal owners seek advice for proper care and management of their animals to ensure health and well-being.,Moderate
29,"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",Legal Consultant,"Advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",Courtroom or Office Environment,Specialist,Professional Services,To provide legal guidance to various stakeholders involved in judicial processes.,Moderate
30,"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Business Advisor,"Advise on local, national, or international factors affecting the buying or selling of products or services","Various locations including offices, factories, and trade centers depending on the specific context of the products or services involved",Specialist,Wholesale Trade,"The user wants to understand how local, national, or international factors can impact their business decisions related to product purchases and sales.",Moderate
31,"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",Interior Designer,"Advise a client on various interior design factors including space planning, layout, use of furnishings or equipment, and color coordination.",Client's home or office (specific context is not provided),Specialist,Professional Services,"The user wants to receive advice from an interior designer on how to effectively plan the layout and use of furnishings within their space, ensuring it aligns with their personal style in terms of color coordination.",Moderate
32,advise clients about proper clothing and shoes.,Sales Representative,Advise clients about proper clothing and shoes to ensure they are appropriately dressed for the occasion or environment.,"Various retail locations, e.g., shoe stores, department stores, etc.",Specialist,Retail Trade,The user was trying to help clients choose suitable clothing and shoes that meet their needs for an upcoming event or situation.,Easy
33,"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",Legal Consultant,"Advise clients on various legal matters related to business transactions, liability, litigation decisions, and rights/obligations.","Various locations depending on the client base (e.g., law offices, corporate environments)",Specialist,Professional Services,"The user wants to obtain legal advice and guidance for their business transactions, liability concerns, or litigation decisions.",Moderate
34,advise clients on financial and legal matters such as investments and taxes.,Financial Advisor,Provide advice on financial and legal matters such as investments and taxes to clients,Office or client's premises,Specialist,Financial Activities,The user was trying to find a qualified Financial Advisor to provide guidance on financial and legal matters like investments and taxes.,Moderate
35,advise clients on how they could be helped by counseling.,Counselor,To advise clients on how they could be helped by counseling services,"Various settings such as office, online platforms, or community centers based on client availability and counselor's practice location",Specialist/Senior Level,Professional Services,Users are seeking advice on mental health and well-being solutions through counseling services.,Moderate
36,"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",Client Advisor,"Provide advice to clients on market conditions, prices, mortgages, legal requirements and related matters.",Various locations including offices or online platforms where clients can access the service.,Specialist,Financial Activities,"The user wants to receive comprehensive advice tailored to their financial needs from a client advisor regarding market conditions, mortgage options, legal requirements, and related matters.",Moderate
37,advise clients on nail care and use of products and colors.,Nail Technician or Nail Specialist,Provide advice to clients on nail care and the use of products and colors.,"Spa, Salon, Beauty Parlor, etc.",Specialist,Retail Trade,To provide clients with guidance on proper nail care practices and suggest suitable nail care products and color options.,Easy
38,"advise clients or community groups on issues related to improving general health, such as diet or exercise.",Health Educator or Health Counselor,Advise clients or community groups on improving general health through diet and exercise,"Community centers, clinics, schools, hospitals, or any public setting where the group is located for health education sessions",Specialist,Education and Health Services,To provide educational resources and advice on improving general health through diet and exercise to clients or community groups.,Moderate
39,"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",Advisor,"Provide advice to construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.","Various locations including offices, factories, and public areas where decisions are made about infrastructure projects.",Specialist,Construction,To provide expert advice to support the sustainable development of construction projects within their organization or for regulatory bodies that oversee such projects.,Moderate
40,advise corporations on issues involving corporate image projects or problems.,Corporate Image Consultant,Advise corporations on issues involving corporate image projects or problems.,"Office environment, often within a consultancy firm or in-house marketing and communications departments.",Specialist,Professional Services,To provide strategic advice to corporations to improve their public image and reputation management.,Moderate
41,advise customer about or perform maintenance of software system.,Software Maintenance Specialist,Advise customers or perform maintenance on software systems to ensure they function correctly and efficiently.,"Varying depending on the type of system (e.g., office computers, cloud-based applications, etc.).",Specialist,Information,The user is seeking assistance in maintaining or understanding a software system to ensure it operates properly.,Moderate
42,"advise customers concerning equipment operation, maintenance, or programming.",Customer Service Representative for Equipment Support,"Provide advice to customers on operating, maintaining, or programming their equipment","Various settings such as workshops, customer service centers, or remote locations depending on the company's policy and technology integration",Specialist,Manufacturing,"The user was trying to obtain advice from a specialist in equipment support for better operation, maintenance, or programming of their devices.",Moderate
43,advise customers of necessary actions and strategies for debt repayment.,Customer Service Representative or Financial Advisor,Advise customers on necessary actions and strategies for debt repayment.,"Online (website, app) or potentially in a physical office environment for in-person sessions.",Specialist,Financial Activities,To help customers manage their debts effectively and reduce the likelihood of further financial difficulties.,Moderate
44,advise customers on plant selection or care.,Customer Service Representative,Advise customers on plant selection or care to enhance customer satisfaction and loyalty,"Online (e.g., website, email, chat)",Specialist,Retail Trade,The user is trying to acquire information about suitable plants for their home or office environment.,Easy
45,advise customers on product usage to improve production.,Customer Service Representative or Product Consultant,Provide guidance and support to customers on product usage to enhance their productivity,"Online (website, customer portal) or through direct contact channels like phone calls or email",Mid-level,Manufacturing,Increase customer satisfaction and efficiency by providing proper guidance on using products effectively.,Moderate
46,advise customers on use and care of merchandise.,Retail Salesperson,Advise customers on the use and care of merchandise to enhance customer satisfaction and sales performance.,Retail store,Mid-level,Retail Trade,"To provide knowledgeable and helpful advice about how to best utilize and maintain purchased products, thereby increasing customer loyalty and satisfaction.",Moderate
47,advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,Agricultural Advisor,To advise farm groups or growers on techniques for maximizing production quantity and quality in land preparation or livestock care,"Farm fields, greenhouses, ranches, etc.",Specialist,Agriculture,The user aims to provide expert advice on improving farm efficiency and productivity through best practices for land management and animal husbandry.,Moderate
48,"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",Farm Advisor,"Provide advice and demonstrate techniques to improve the efficiency of livestock feeding, health maintenance, crop growing, harvesting practices, and financial planning for farmers.",On-farm or rural settings,Specialist,Agriculture,To assist farmers in improving their agricultural productivity and sustainability through expert advice and demonstration of best farming practices.,Moderate
49,advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,Agricultural Advisor or Extension Specialist,"Advise farmers on development programs, new equipment, and techniques to improve quality production.","Farm fields, agricultural research centers, extension offices, etc.",Specialist,Agriculture,To provide guidance and support to farmers in improving their productivity through the use of new technologies and techniques.,Moderate
50,"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",Food Service Manager or Organization Administrator,"Provide guidance on sanitation, safety procedures, menu development, budgeting, and planning to support the establishment, operation, and evaluation of food service facilities and nutrition programs.","Various settings such as schools, hospitals, restaurants, etc., where food service operations are conducted.",Specialist,Leisure and Hospitality,"To assist in the establishment, operation, and evaluation of food service facilities and nutrition programs by providing advice on various aspects like sanitation, safety procedures, menu development, budgeting, and planning.",Moderate
51,advise internal management or business partners on the implementation or operation of compliance programs.,Compliance Officer,Advise internal management or business partners on the implementation or operation of compliance programs.,"Office environment, potentially in various locations as per company policy (e.g., main office, remote)",Specialist,Professional Services,To ensure internal management and business partners understand and properly implement compliance programs to avoid legal issues and maintain regulatory standards.,Moderate
52,"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",Licensing Consultant,"Provide advice on licensing, permit, or passport regulations to licensees or other individuals or groups","Various locations including offices, government institutions, and private sectors depending on the specific context of each licensee or group",Specialist,Professional Services,The user was trying to seek guidance on compliance with various regulatory requirements.,Moderate
53,"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",Manager or Policy Advisor,"Advise management on personnel, managerial, and marketing policies and their impacts on organizational effectiveness and efficiency","Various business settings such as offices, factories, etc.",Specialist,Professional Services,"To provide strategic recommendations to improve the operational performance of an organization through better policies in personnel management, managerial practices, and marketing strategies",Moderate
54,advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,Management Advisor,"Advise management on contract administration, employee discipline, or grievance procedures.",Office Environment,Mid-Level,Professional Services,The user was trying to obtain advice from a management advisor regarding specific aspects of managing contracts and handling disciplinary actions in an organizational setting.,Moderate
55,"advise management on organizing, preparing, or implementing recruiting or retention programs.",Human Resources Manager,"advise management on organizing, preparing, or implementing recruiting or retention programs",Office/Facility where HR operates,Senior,Professional Services,The user is trying to obtain advice from a Human Resources Manager for improving the efficiency and effectiveness of their organization's recruitment and retention strategies.,Moderate
56,"advise management on short-term and long-term financial objectives, policies, and actions.",Financial Advisor,"Advise management on short-term and long-term financial objectives, policies, and actions.",Office environment,Senior,Financial Activities,"To provide strategic advice to management regarding the company's financial goals, policies, and actionable plans for both the short and long terms.",Moderate
57,"advise management on such matters as equal employment opportunity, sexual harassment and discrimination.",Human Resources Manager or similar,"Advise management on matters related to equal employment opportunity, sexual harassment, and discrimination policies within the organization",Office setting,Senior,Financial Activities,To ensure compliance with anti-discrimination laws and promote a fair workplace environment,Moderate
58,"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",Customer Service Manager,"Advise management on customer satisfaction, product performance, or suggestions for improvements",Office/Customer Feedback Room,Mid-level,Retail Trade,Provide insights to improve the overall quality of products and services offered by the company to enhance customer satisfaction.,Moderate
59,"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",Human Resources Manager or HR Specialist,"Advise managers and employees on various employment regulations, policies, and procedures to ensure compliance and provide guidance",Office environment where HR functions are typically carried out,Specialist,Professional Services,"To ensure that both managers and employees within the organization are well-informed about applicable employment laws, policies, and procedures to facilitate compliance and decision-making.",Moderate
60,"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",Manager,"Advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",Office or workplace setting,Mid-level,Professional Services,The user is seeking advice from a manager to improve organizational policies regarding equal employment opportunities and preventing sexual harassment.,Moderate
61,advise or assist in obtaining patents or meeting other legal requirements.,Patent Attorney or Legal Assistant,To advise or assist in obtaining patents or meeting other legal requirements.,Various locations including offices and potentially online platforms for patent applications.,Specialist,Professional Services,The user is seeking assistance to navigate the process of patent application and related legal requirements effectively.,Moderate
62,advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,Historical Consultant,Advise or consult with individuals and institutions regarding historical authenticity and customs of specific periods,"Various locations including academic, corporate, governmental, and cultural settings",Specialist,Other Services,To provide expert advice on the historical authenticity and customs related to a particular time period for clients seeking validation or understanding.,Moderate
63,"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",Dental Hygienist,"Advise or instruct patients on preventive dental care, causes and treatment of dental problems, and oral health care services",Clinic or Dental Office,Specialist,Health Services,"The user is seeking advice or instructions from a dental hygienist regarding preventive dental care, causes and treatment of dental problems, and oral health care services.",Moderate
64,advise participants in use of heat or ultraviolet treatments and hot baths.,Healthcare Professional,"Advise participants on the use of heat, ultraviolet treatments, and hot baths for therapeutic purposes",Clinic or Treatment Facility,Specialist,Professional Services,"To provide advice to patients on appropriate uses of heat, UV treatments, and hot baths for their specific health conditions.",Moderate
65,advise patients about recommended courses of treatment.,Healthcare Professional,Advise patients on recommended courses of treatment to improve their health and wellbeing,"Hospital, Clinic, or Office Environment",Specialist,Health Care Services,To provide appropriate medical advice and recommendations for effective patient care.,Moderate
66,advise patients about therapeutic exercise and nutritional medicine regimens.,Healthcare Professional,Advise patients on therapeutic exercise and nutritional medicine regimens to improve their health outcomes,Hospital or Clinic (office setting),Specialist,Education and Health Services,To provide personalized advice to patients for effective therapeutic exercise and nutritional management of their conditions.,Moderate
67,"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",Healthcare Provider,"Advise patients and community members on dietary, physical activity, hygiene practices, and disease prevention strategies.",Hospital or Clinic,Mid-Level,Education and Health Services,The user was seeking guidance and resources to inform others about health-related recommendations for better lifestyle choices.,Moderate
68,"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",Nurse or Dietitian,"Provide nutritional advice and guidance to patients and their families regarding dietary plans, modifications, and food selection/preparation",Hospital or Clinical Setting,Specialist,Healthcare Services,The user wants to ensure that patients receive proper nutritional care and education.,Moderate
69,"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",Health Educator,"Provide dietary, physical activity, hygiene, and disease prevention advice to patients, parents or guardians, and community members","Various settings such as clinics, hospitals, schools, public health campaigns, etc.",Specialist,Education and Health Services,"The user was attempting to obtain information on diet, physical activity, hygiene practices, and disease prevention measures from a health educator for patients, parents, or community members.",Moderate
70,"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",Traffic Advisor,Provide advice on traffic issues to personnel for better road management and safety,"Various locations including roads, highways, city streets, etc.",Specialist,Transportation,To inform personnel about current traffic conditions so they can make informed decisions on route planning and driving behavior for the benefit of all road users.,Moderate
71,"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",Planning Official,"Advise on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives","Various locations including offices, planning departments etc.",Specialist,Government,"To obtain advice from a Planning Official regarding the feasibility, cost-effectiveness, and compliance of a project proposal with relevant regulations or to explore alternative solutions for a proposed project.",Moderate
72,advise producers about improved products and techniques that could enhance their animal production efforts.,Animal Production Advisor,Provide advice to producers on improving their animal production efforts and techniques,"Various agricultural settings such as farms, ranches, and similar environments",Specialist,Manufacturing,To enhance the productivity and profitability of livestock and poultry farming operations.,Moderate
73,"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",Project Team Advisor,"Advise project teams on regulatory, export, labeling, and clinical study compliance issues to ensure projects comply with relevant laws and standards.","Various Project Sites (could be in an office, lab, or client site depending on the specific project requirements)",Specialist,Professional Services,To provide guidance to project teams to ensure they meet all regulatory and compliance requirements for their projects.,Moderate
74,advise students on academic and vocational curricula and on career issues.,Educational Counselor,"Advise students on academic and vocational curricula, as well as career issues.",School or Educational Institution,Specialist,Education and Health Services,To provide guidance to students regarding their educational paths and future careers within a school setting.,Moderate
75,"advise students on academic and vocational curricula, and on career issues.",Academic Advisor or Vocational Counselor,"Provide guidance and advice to students on academic, vocational curricula, career issues, and overall educational development.",Schools,Specialist,Education and Health Services,To help students make informed decisions about their academic and future careers.,Moderate
76,"advise students on academic and vocational curricula, career issues, and laboratory and field research.",Educational Advisor,"Advise students on academic and vocational curricula, career issues, and laboratory and field research.",School or educational institution,Specialist,Education and Health Services,"The user was trying to seek guidance from an Educational Advisor for academic planning, career advice, and research direction in a school setting.",Moderate
77,"advise students on internships, prospective employers, and job placement services.",Student Advisor,"Provide guidance and support to students on internships, prospective employers, and job placement services",School/University,Specialist,Education and Health Services,"To assist students in finding suitable internships, identifying potential employers, and accessing employment resources within the school environment.",Moderate
78,"advise students on issues such as course selection, progress toward graduation, and career decisions.",Academic Advisor,"Provide guidance to students on course selection, academic progress, and career decisions",School (usually college or university),Specialist,Education and Health Services,The user was trying to receive guidance from an Academic Advisor regarding their academic path and future career.,Moderate
79,advocate for accessible health care that minimizes environmental health risks.,Healthcare Advocate,Promote accessible health care options that reduce environmental health risks,"Various healthcare settings including clinics, hospitals, and community centers",Specialist,Education and Health Services,To advocate for better health care services that are environmentally sustainable and accessible to all.,Moderate
80,"advocate for patients' and families' needs, or provide emotional support for patients and their families.",Patient Advocate or Support Worker,"Advocate for patients' and families' needs, provide emotional support","Hospital, Clinic, Nursing Home, Community Health Center",Specialist,Health Care Services,To ensure patient care is well-supported by advocacy and emotional support services.,Moderate
81,"advocate for sustainability to community groups, government agencies, the general public, or special interest groups.",Sustainability Advocate,"Promote and advocate for sustainability practices to various groups including community organizations, government agencies, the general public, or special interest groups.","Various contexts such as offices, communities, city hall, schools, factories, etc.",Specialist,Other Services,To raise awareness and encourage adoption of sustainable practices among different sectors of society.,Moderate
82,"align, adjust, or calibrate equipment according to specifications.",Maintenance Technician,To ensure equipment is operating correctly according to specifications.,Factory or industrial setting,Specialist,Manufacturing,The user wants the equipment to function properly and safely for production processes.,Moderate
83,"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",Graphic Designer,"Allocate print space for story text, photos, and illustrations based on parameters and significance of content using layout principles.",Workplace (office environment),Mid-level,Manufacturing,"The user is trying to create a visually appealing layout for a story involving text, photos, and illustrations in print media.",Moderate
84,"analyze a script, noting events that affect each character's appearance, so that plans can be made for each scene.",Script Analyst,Analyze a script to identify events affecting each character's appearance and plan for future scenes.,Studio or Production Office,Mid-Level,Manufacturing,To improve the visual aspects of a script to enhance character portrayals and scene planning.,Moderate
85,analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,Logistics Analyst,Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,"Various locations including offices, warehouses, and possibly manufacturing sites based on company operations",Specialist,Transportation,To optimize supply chain management by finding the most cost-effective logistics solutions for a company's products or supplies.,Moderate
86,"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services.","Consumer Product Developer, Technology Developer, Software Engineer Consultant",Assist with the design of innovative products and services by analyzing user experiences and institutional settings,"Various contexts including companies' development departments, research labs, etc.",Specialist,Professional Services,"To generate insights that help in creating more effective consumer products, technology solutions, and software applications by considering user needs and system settings.",Moderate
87,analyze and classify risks and investments to determine their potential impacts on companies.,Risk Analyst or Investment Analyst,Analyze and classify risks and investments to determine their potential impacts on companies.,Various locations including office environments for financial analysis,Specialist,Financial Activities,"To evaluate the potential effects of different risk factors and investment opportunities on a company's performance, aiding in strategic decision-making.",Moderate
88,"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",Climate Research Analyst,"Analyze climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",Office,Specialist,Other Services,To provide informed insights on climate change for policymakers and regulators to make effective decisions regarding environmental policies.,Moderate
89,analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,Psychologist or Psychiatrist,Diagnose mental disorders based on patient data and test findings,"Clinic, Hospital, Private Practice",Specialist,Health Services,To accurately diagnose the nature and extent of a patient's mental disorder.,Moderate
90,analyze and evaluate robotic systems or prototypes.,Engineer or Analyst,"Analyze and evaluate robotic systems or prototypes to ensure they meet the required specifications, are reliable, and perform as intended.","Various industrial settings including factories, research labs, or development centers",Specialist,Manufacturing,To assess the functionality and efficiency of robotic systems to contribute to product development and process optimization in their organization.,Moderate
91,"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",Security Operations Analyst,"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",Not specified in the task description,Specialist,Financial Activities,The user is trying to improve security operations by identifying potential risks and areas for enhancement.,Moderate
92,"analyze and implement engineering designs for producing electronic devices and systems and microprocessor-based control applications, applying principles of mathematics, digital signal processing, network analysis, and computer engineering.",Electronic Engineer or Systems Designer,"Analyze engineering designs for electronic devices and systems, implement these designs, and develop microprocessor-based control applications using mathematical principles, digital signal processing, network analysis, and computer engineering.",Factory or Laboratory environment where prototypes are developed and tested.,Specialist,Manufacturing,To design and implement electronic systems that incorporate advanced control algorithms and ensure they function as intended.,Moderate
