Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
36,"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",Legal Consultant,"Advise clients on various legal matters related to business transactions, liability, and disputes.",Office/Meeting Room,Specialist,Professional Services,To provide guidance on legal issues that affect the client's business operations and risk management strategies.,Moderate
37,advise clients on financial and legal matters such as investments and taxes.,Financial Advisor or Legal Consultant,Provide advice on financial and legal matters such as investments and taxes to clients.,"Various environments, including but not limited to offices, client meetings, etc.",Specialist,Financial Activities,The user was trying to get professional advice on financial and legal matters from a financial advisor or legal consultant.,Moderate
38,advise clients on how they could be helped by counseling.,Counselor,Advise clients on how they could be helped by counseling services,"Varys based on the setting of the client (e.g., office, online consultation, etc.)",Specialist,Professional Services,To provide guidance to clients about the benefits and options for counseling services.,Moderate
39,"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",Financial Advisor,"Provide advice to clients on market conditions, prices, mortgages, legal requirements and related matters.",Various client locations or remotely,Specialist,Financial Activities,The user is seeking advice from a financial advisor regarding various aspects of the market and their financial needs.,Moderate
40,advise clients on transportation and payment methods.,Transportation and Payment Consultant,Provide advice to clients on transportation and payment methods.,"Not specified, could be performed in various contexts such as offices or online.",Specialist,Wholesale Trade,The user was trying to obtain guidance from a consultant regarding suitable transportation and payment options for their business operations.,Moderate
41,"advise clients or community groups on issues related to improving general health, such as diet or exercise.",Health Educator or Health Counselor,Advise clients or community groups on improving general health through dietary and exercise improvements,"Community centers, schools, hospitals, online platforms (depending on the context)",Specialist,Education and Health Services,To improve public health by providing advice on diet and exercise to clients or community groups.,Moderate
42,"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",Financial Advisor,Advise clients or respond to inquiries about financial matters in person or via various communication channels.,"Office, Customer Interaction Hub, Online (for internet chat)",Specialist,Financial Activities,To provide financial advice and support to clients seeking information on various financial topics.,Moderate
43,"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",Consultant or Advisor,"Advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",Office (typically a consultancy firm or governmental agency),Specialist,Construction,"To provide expert advice to construction firms and government agencies for efficient dam or road construction, foundation design, land use, or resource management.",Moderate
44,advise corporations on issues involving corporate image projects or problems.,Corporate Communications Specialist,Advise corporations on corporate image projects or problems,Office or Virtual Environment,Specialist,Professional Services,To provide strategic advice to corporations on maintaining and enhancing their public image.,Moderate
45,advise customer about or perform maintenance of software system.,Software Support Specialist,Advise customers or perform maintenance on software systems to ensure they function correctly and efficiently.,Various locations including but not limited to office environments where software is used.,Specialist,Information,The user wants to ensure their software system operates smoothly and receives assistance if needed.,Moderate
46,"advise customers concerning equipment operation, maintenance, or programming.",Customer Support Engineer,"Advise customers on the operation, maintenance, or programming of their equipment to ensure they are using it correctly and efficiently.","Various industrial settings such as factories, offices, warehouses, etc.",Specialist,Manufacturing,"To provide customers with guidance on how to use, maintain, or program their equipment effectively so they can optimize its performance and longevity.",Moderate
47,advise customers of necessary actions and strategies for debt repayment.,Financial Advisor,Advise customers on necessary actions and strategies for debt repayment,"Online (virtual consultations, emails, phone calls)",Specialist,Financial Activities,Helping customers manage their debts effectively to improve financial health and stability.,Moderate
48,"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",Customs Specialist,"Advise customers on various customs-related matters such as import and export restrictions, tariff systems, insurance requirements, quotas, or other customs regulations.","Various locations including offices, warehouses, docks, and potentially at ports depending on the business scale.",Specialist,Wholesale Trade,"The user is seeking advice on how to comply with import/export restrictions, tariff systems, insurance requirements, quotas, or other customs-related regulations for their products and services.",Moderate
49,advise customers on product usage to improve production.,Customer Service Representative/Product Trainer,Provide advice on product usage to improve customer production efficiency and satisfaction.,Online (virtual) or potentially in a customer support office depending on the company's setup,Specialist/Senior,Manufacturing,To enhance customer productivity by providing guidance on how to use a product effectively.,Moderate
50,advise customers on use and care of merchandise.,Sales Representative,Provide guidance and recommendations to customers on how to use and properly care for products they have purchased.,"Retail store, online platform, or customer's home if service-based",Mid-level,Retail Trade,The user wants to ensure the best possible experience and longevity of their purchases by understanding how to use and maintain them correctly.,Moderate
51,advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Sales and Marketing Specialist,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,"Office environment, potentially with some field visits for training or consultation purposes",Mid-level,Wholesale Trade,To enhance the efficiency and effectiveness of dealers and distributors within their network through policy advice and procedure guidance.,Moderate
52,advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,Farm Advisor,Advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,"Fields, farms, ranches, etc. - typically outdoors in rural areas but can also be indoors for office consults.",Specialist,Agriculture,Farm advisors want to help farmers improve their practices to increase crop yields and animal productivity.,Moderate
53,"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",Farmer Educator or Agricultural Extension Agent,"Advise and demonstrate agricultural practices to farmers, focusing on livestock care, crop management, financial planning, and other related areas.","On-farm settings, rural communities, community centers, etc.",Specialist,Agriculture,To improve the efficiency and profitability of agricultural practices among farmers through education and demonstration of best practices.,Moderate
54,advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,Field Agronomist or Agricultural Consultant,"Advise farmers on development programs, new equipment, and techniques to improve quality production","Farm fields, Greenhouses, Rural areas",Specialist,Agriculture,The user was trying to find or provide advice for improving agricultural practices and efficiency.,Moderate
55,"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",Food Service Manager or Nutrition Program Coordinator,"Advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.","Various settings such as schools, hospitals, restaurants, and other institutional environments where food services operate",Specialist,Leisure and Hospitality,"To provide guidance and support to food service managers for the establishment, operation, and evaluation of their facilities and programs.",Moderate
56,advise internal management or business partners on the implementation or operation of compliance programs.,Compliance Officer,Advise internal management or business partners on the implementation or operation of compliance programs.,"Office, workplace environment",Specialist,Professional Services,"To provide guidance to ensure that internal processes and operations comply with relevant laws, regulations, and ethical standards.",Moderate
57,"advise management about issues such as resource utilization, tax strategies, and the assumptions underlying budget forecasts.",Management Advisor,"Advise management on resource utilization, tax strategies, and budget forecast assumptions",Corporate office or management workspace,Executive,Financial Activities,"To assist the management team in making informed decisions regarding resource allocation, tax planning, and financial forecasting",Expert
58,"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",Manager,"Advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",Office or Corporate Environment,Senior,Professional Services,"The user was trying to advise the management about policies related to personnel, managerial, and marketing aspects in order to improve overall organization's effectiveness and efficiency.",Moderate
59,advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,Management Advisor,"Advise management on contract administration, employee discipline, or grievance procedures to improve organizational operations and compliance.","Various work settings (e.g., office environments, corporate headquarters)",Specialist/Senior Level,Professional Services,"To ensure effective management practices align with company policies and laws in areas like contract administration, employee discipline, or grievance procedures.",Moderate
60,"advise management on short-term and long-term financial objectives, policies, and actions.",Financial Advisor,"Advise management on short-term and long-term financial objectives, policies, and actions.",Office or Corporate Setting,Mid-Senior Level,Financial Activities,The user is seeking to obtain strategic financial advice for their company's management team.,Moderate
61,"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",Management Advisor,"Advise management on customer satisfaction, product performance, or suggestions for product improvements.","Various business settings including offices, retail stores, and online platforms where the company interacts with customers and operates its products.",Specialist,Retail Trade,The user was trying to obtain recommendations or insights for improving customer satisfaction and product performance from management.,Moderate
62,"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",Human Resources Manager or HR Specialist,"Advise managers and employees on various employment regulations, policies, and procedures to ensure compliance and optimize organizational performance.","Various corporate settings such as offices, factories, etc.",Specialist,Professional Services,"To ensure that the organization is in compliance with relevant employment regulations, policies, and procedures to maintain a healthy and productive work environment.",Moderate
63,"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",Manager,"Advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",Office environment,Mid-level,Professional Services,"To provide guidance to managers regarding organizational policies related to equality and workplace safety, with the aim of improving their understanding and implementation of these policies.",Moderate
64,advise or assist in obtaining patents or meeting other legal requirements.,Patent Attorney or Legal Consultant,To advise or assist in obtaining patents or meeting other legal requirements.,"Various locations including office environments, depending on the specific role and company size (e.g., law firms, corporate R&D departments)",Specialist,Professional Services,To seek advice from a professional to help secure patents for their inventions or to ensure compliance with legal requirements in their industry.,Moderate
65,advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,Historical Consultant,Advise or consult with individuals and institutions regarding historical authenticity of materials and customs of specific periods,"Various settings such as academic settings, cultural centers, government offices, etc.",Specialist,Other Services,To provide expert advice on the historical authenticity of materials or customs from a particular period to individuals and institutions interested in historical studies or applications.,Moderate
66,"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",Dental Care Provider,"Advise or instruct patients on preventive dental care, causes and treatment of dental problems, or oral health care services.",Clinic/Office/Hospital,Specialist,Education and Health Services,To provide educational guidance to patients about maintaining good oral hygiene for preventive dental care and treatment of common dental issues.,Moderate
67,"advise patients and community members concerning diet, activity, hygiene, and disease prevention.","Healthcare Professional (e.g., Dietitian, Public Health Educator)","Advise patients and community members on maintaining a healthy lifestyle through diet, physical activity, hygiene practices, and disease prevention strategies.","Various healthcare settings such as clinics, hospitals, public health centers, schools, or community gatherings",Specialist/Professional Level,Education and Health Services,To promote public health and encourage healthier lifestyles among patients and the general population through comprehensive lifestyle advice.,Moderate
68,"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",Nutrition Educator,"Advise patients and their families on nutritional principles, dietary plans, diet modifications, food selection, and preparation",Hospital or Clinic,Specialist,Education and Health Services,To provide effective nutrition guidance to improve the health of patients and support their families in making informed dietary choices.,Moderate
69,"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",Planning Official,"Advise on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives for planning officials",Office,Specialist,Government,"To provide recommendations to planning officials regarding the feasibility, cost-effectiveness, and regulatory compliance of projects while also considering alternative options.",Moderate
70,advise producers about improved products and techniques that could enhance their animal production efforts.,Production Advisor,Advise producers on ways to improve their animal production methods and products for better efficiency and outcomes.,Farm or Agricultural Facility (Specifically a location where animals are raised for production purposes),Specialist,Manufacturing,"To provide advice that could enhance producers' animal production efforts, leading to improved efficiency and profitability.",Moderate
71,"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",Project Team Advisor,"Advise project teams on regulatory and compliance issues related to premarket requirements, export labeling, and clinical studies.","Various (e.g., office, conference room, meeting rooms)",Specialist,Professional Services,To ensure that project teams are fully informed about the necessary regulatory and compliance requirements for their projects to proceed effectively.,Moderate
72,"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",Retail Customer Service Representative or Internal Support Specialist,"Advise on the appropriateness of parts, supplies, or materials requested by retail customers or internal users","Retail Store, Warehouse, or Corporate Office",Specialist,Retail Trade,"To ensure that the correct parts, supplies, and materials are ordered to meet customer needs efficiently.",Easy
73,advise students on academic and vocational curricula and career issues.,Academic Advisor or Career Counselor,"Provide guidance on academic and vocational curricula, as well as career development advice to students.",School or Educational Institution,Specialist,Education and Health Services,The user is seeking information and advice for their children's educational and professional path based on the student's academic progress and interests.,Moderate
74,advise students on academic and vocational curricula and on career issues.,Academic Advisor,To advise students on academic and vocational curricula and on career issues.,School or University,Specialist,Education and Health Services,"To provide guidance to students about their academic paths, career options, and educational pathways.",Moderate
75,"advise students on academic and vocational curricula, and on career issues.",Academic Advisor/Career Counselor,"Provide advice on academic and vocational curricula, and career issues to students.",School or Educational Setting,Specialist,Education and Health Services,To assist students in choosing appropriate academic paths and career options based on their interests and skills.,Moderate
76,"advise students on academic and vocational curricula, career issues, and laboratory and field research.",Academic Advisor or Career Counselor,"Provide advice on academic and vocational curricula, career issues, and laboratory and field research to students.",School or Educational Institution,Specialist,Education and Health Services,The user was trying to seek guidance for their educational and career development from an academic advisor or career counselor.,Moderate
77,"advise students on course selection, career decisions, and other academic and vocational concerns.",Academic Advisor,"Advise students on course selection, career decisions, and other academic and vocational concerns.",School,Specialist,Education and Health Services,To provide guidance to students for their academic planning and future career choices in a school setting.,Moderate
78,"advise students on internships, prospective employers, and job placement services.",Student Advisor,"Advise students on internships, prospective employers, and job placement services.","School (e.g., college or university)",Specialist,Education and Health Services,To assist students in finding suitable internship opportunities and general career guidance within the educational institution context.,Moderate
79,"advise students on issues such as course selection, progress toward graduation, and career decisions.",Academic Advisor,"Provide advice to students on course selection, graduation progress, and career decisions.",School or University,Specialist,Education and Health Services,To help students make informed decisions about their academic path and future careers at the university level.,Moderate
80,"advise teaching and administrative staff in curriculum development, use of materials and equipment, and implementation of state and federal programs and procedures.",Teaching and Administrative Staff,"Advise teaching and administrative staff in curriculum development, use of materials and equipment, and implementation of state and federal programs and procedures.",School or Educational Institution,Specialist,Education and Health Services,"To assist teachers and administrators with developing effective educational curricula, utilizing available resources, and adhering to relevant government regulations and guidelines in an educational setting.",Moderate
81,advocate for accessible health care that minimizes environmental health risks.,Healthcare Advocate,Advocate for accessible health care that minimizes environmental health risks,"Various healthcare settings including clinics, hospitals, and community centers",Specialist,Education and Health Services,To promote environmentally friendly practices in the healthcare sector to ensure patient safety and minimize harm from pollution.,Moderate
82,"advocate for patients' and families' needs, or provide emotional support for patients and their families.",Healthcare Support Worker,"Advocate for patients' and families' needs, or provide emotional support for patients and their families.",Hospital or Patient Care Facility,Specialist,Other Services,To enhance patient care by ensuring patients and their families receive the necessary support in a healthcare setting.,Moderate
83,agree on buying or selling prices at optimal levels for clients.,Financial Advisor,Agree on buying or selling prices at optimal levels for clients.,Office,Specialist,Wholesale Trade,To help their clients achieve the best financial outcomes by determining the optimal prices for their transactions.,Moderate
84,"aid patients in performing tasks, such as bathing or keeping beds, clothing, or living areas clean.",Nursing Assistant,Assist patients in performing daily living tasks such as bathing and keeping their living areas clean.,Hospital/Residential Care Facility,Mid-Level,Health Services,"To ensure the health, hygiene, and comfort of patients while allowing them to maintain some independence in their daily routines.",Moderate
85,"align, adjust, or calibrate equipment according to specifications.",Equipment Technician,"Align, adjust, or calibrate equipment according to specifications.",Factory or Industrial Setting,Specialist,Manufacturing,To ensure the equipment operates correctly and efficiently within its specifications for optimal performance in a factory setting.,Moderate
86,"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",Content Designer or Layout Specialist,"Allocate print space for story text, photos, and illustrations based on design principles and copy significance.",Office or Design Studio,Specialist,Manufacturing,"To create an effective layout for a publication considering the importance of content elements like text, images, and their visual impact.",Moderate
87,"analyze a script, noting events that affect each character's appearance, so that plans can be made for each scene.",Script Analyst,"To analyze a script and identify events that influence each character's appearance, aiding in scene planning.",Various locations such as offices or home environments where script analysis can be done.,Specialist,Information,To prepare for filming by understanding the impact of scripts on characters and scenes to create engaging content.,Moderate
88,analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,Logistics Analyst,Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,"Various locations including factory floors, warehouses, and distribution centers where logistics operations occur.",Specialist,Manufacturing,To optimize transportation methods for reduced costs and improved efficiency in product delivery processes within a company's logistics system.,Moderate
89,"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services.","Consumer Product Developer, Technology Developer, or Software Engineer",Assist in the design of innovative products and services by analyzing user experiences and institutional settings,"Various Workplaces (e.g., office environments for developers)",Specialist,Professional Services,"To provide insights that help consumer product developers, technology developers, and software engineers design more innovative products and services based on user needs and institutional settings.",Moderate
90,analyze and classify risks and investments to determine their potential impacts on companies.,Risk Analyst,To analyze and classify risks and investments to determine their potential impacts on companies.,Office,Specialist,Financial Activities,"The user was trying to identify and evaluate the risks and investment opportunities that could affect a company's performance, with the aim of making informed decisions regarding financial strategies.",Moderate
91,"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders.",Climate Research Analyst,"To analyze climate-related research findings and distill them into actionable information for legislators, regulatory agencies, or other stakeholders.",Office/Workplace,Specialist,Other Services,The user was trying to provide policymakers with up-to-date climate research insights to inform their decision-making processes regarding environmental policies and regulations.,Moderate
92,analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,Psychiatrist or Psychologist,Analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,"Hospital, Clinic, Office",Specialist,Health Services,To accurately diagnose a patient's mental disorder based on their data and test results for proper treatment planning.,Moderate
93,analyze and evaluate robotic systems or prototypes.,Engineer or Researcher,Analyze and evaluate robotic systems or prototypes,"Lab, Factory, Office",Specialist,Manufacturing,To assess the functionality and efficiency of new robotic systems for potential applications in various industries.,Moderate
