,task_name
198,analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product.
199,analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.
200,"analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates."
201,analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.
202,"analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data."
203,analyze system performance or operational requirements.
204,analyze target companies or investment opportunities to inform investment decisions.
205,"analyze technical feasibility of energy saving measures using knowledge of engineering, energy production, energy use, construction, maintenance, system operation, or process systems."
206,"analyze technical implications of architect's design concept, calculating weights, volumes, and stress factors."
207,analyze technology trends to identify markets for future product development or to improve sales of existing products.
208,"analyze test data for automotive systems, subsystems, or component parts."
209,"analyze test data to diagnose malfunctions, to determine performance characteristics of systems, or to evaluate effects of system modifications."
210,"analyze test data, making computations as necessary, to determine test results."
211,"analyze test readings, computer printouts, and trouble reports to determine equipment repair needs and required repair methods."
212,analyze test results and develop a treatment plan.
213,"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems."
214,analyze the effectiveness of marketing tactics or channels.
215,"analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams."
216,"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed."
217,"analyze the financial impact of proposed logistics changes, such as routing, shipping modes, product volumes or mixes, or carriers."
218,"analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions."
219,"analyze the layout, instrumentation, or function of electrical generation or transmission facilities."
220,"analyze the probable outcomes of cases, using knowledge of legal precedents."
221,"analyze training needs to design employee development, language training and health and safety programs."
222,analyze training needs to develop new training programs or modify and improve existing programs.
223,"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments."
224,analyze user needs and recommend appropriate hardware.
225,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
226,"analyze worker or production problems and recommend solutions, such as improving production methods or implementing motivational plans."
227,analyze x-rays to locate the sources of patients' difficulties and to rule out fractures or diseases as sources of problems.
228,"analyze, estimate, or report production costs."
229,"analyze, interpret, or create graphical representations of energy data, using engineering software."
230,"analyze, interpret, or disseminate system performance data."
231,answer applicants' questions about benefits and claim procedures.
232,answer clients' questions about the purposes and details of financial plans and strategies.
233,"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals."
234,"answer customer inquiries or explain cost, availability, policies, and procedures of facilities."
235,answer customers' questions about merchandise and advise customers on merchandise selection.
236,"answer customers' questions about products, prices, availability, or credit terms."
237,"answer customers' questions about products, prices, availability, product uses, and credit terms."
238,"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities."
239,"answer customers' questions, and provide information on procedures or policies."
240,"answer inquiries from current or prospective customers regarding methods, materials, or price ranges."
241,"answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines."
242,"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints."
243,"answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment."
244,"answer inquiries regarding information such as schedules, accommodations, procedures, and policies."
245,answer inquiries regarding shipping or mailing policies.
246,"answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules."
247,answer questions about product features and benefits.
248,answer questions about records or files.
249,answer questions and provide future tax planning to clients.
250,"answer questions from passengers concerning train rules, stations, and timetable information."
251,answer questions from taxpayers and assist them in completing tax forms.
252,answer questions from the public and media.
253,"answer questions or provide advice to the public regarding licensing policies, procedures, or regulations."
254,"answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information."
255,"answer questions regarding mail regulations and procedures, postage rates, and post office boxes."
256,answer questions regarding the store and its merchandise.
257,"answer simple questions about clients' businesses, using reference files."
258,answer user inquiries regarding computer software or hardware operation to resolve problems.
259,"apply analytic methods or tools to understand, predict, or control logistics operations or processes."
260,"apply clean dressings, slings, stockings, or support bandages, under direction of nurse or physician."
261,apply customer feedback to service improvement efforts.
262,"apply elements of music theory to create musical and tonal structures, including harmonies and melodies."
263,apply finger and hand pressure to specific points of the body.
264,"apply glazes, icings, or other toppings to baked goods, using spatulas or brushes."
265,apply logistics modeling techniques to address issues such as operational process improvement or facility design or layout.
266,"apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation."
267,"apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups."
268,"apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells."
269,"apply relevant laws, regulations, policies, or precedents to reach conclusions."
270,apply selected research findings to practice.
271,"apply statistical methods and perform mathematical calculations to determine manufacturing processes, staff requirements, and production standards."
272,"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters."
273,"appraise property values, assessing income potential when relevant."
274,"approve, prepare, monitor, and adjust operational budgets."
275,"arrange and mount typeset material and illustrations into paste-ups for printing reproduction, based on artists' or editors' layouts."
276,"arrange conference, meeting, or travel reservations for office personnel."
277,"arrange financing of deals from sources such as financial institutions, agencies, or public or private companies."
278,arrange for advertising or posting of job vacancies and notify eligible workers of position availability.
279,"arrange for debt repayment or establish repayment schedules, based on customers' financial situations."
280,arrange for financing of property purchases.
281,"arrange for special transport of sensitive cargoes, such as livestock, food, or medical supplies."
282,"arrange music composed by others, changing the music to achieve desired effects."
283,"arrange or store materials, machines, tools, or equipment."
284,"ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency."
285,ask questions that will help clients identify their feelings and behaviors.
286,"assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals."
287,"assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts."
288,assemble sets of assumptions and explore the consequences of each set.
289,"assemble, maintain, or distribute information for library or record systems."
290,"assemble, test, or maintain circuitry or electronic components, according to engineering instructions, technical manuals, or knowledge of electronics, using hand or power tools."
291,"assess clients' overall financial situation by reviewing income, assets, debts, expenses, credit reports, or other financial information."
292,"assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops."
293,"assess current or future customer needs and priorities through communicating directly with customers, conducting surveys, or other methods."
294,"assess electrical components for consumer electronics applications, such as fuel cells for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers."
295,assess employee performance and suggest ways to improve work.
296,"assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling."
297,"assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance."
298,assess patients for risk of suicide attempts.
299,"assess performance following athletic competition, identifying strengths and weaknesses and making adjustments to improve future performance."
300,"assess project feasibility by analyzing technology, resource needs, and market demand."
301,assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.
302,"assess the identity, strength, or purity of medications."
303,assess the nature and level of threats so that the scope of the problem can be determined.
304,assess the usefulness of pre-developed application packages and adapt them to a user environment.
305,"assess training needs through surveys, interviews with employees, focus groups, or consultation with managers, instructors, or customer representatives."
306,assist customers by providing information and resolving their complaints.
307,assist engineers and scientists in conducting applied research in electrical engineering.
308,"assist engineers in the design, configuration, or application of robotic systems."
309,"assist engineers to design or develop electrochemical devices, such as solid oxide membranes or other products for sustainable applications."
310,assist faculty members or staff with student conferences.
311,assist in laying out material for publication.
312,assist in locating housing for displaced individuals.
313,assist in selection of financial award candidates using electronic databases to certify loan eligibility.
314,assist in setting up or optimizing analytics tools for tracking visitors' behaviors.
315,"assist in the assessment, acquisition, or deployment of new electronic document management systems."
316,"assist nanoscientists, engineers, or technologists in writing process specifications or documentation."
317,assist patients in organizing their health care system activities.
318,assist scientists or engineers in the conduct of photonic experiments.
319,assist students who need extra help with their coursework outside of class.
320,attend or view productions to maintain knowledge of available actors.
321,"attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments."
322,"attend to the needs of the bereaved, such as by offering comfort, counseling, or after care programs."
323,authenticate and appraise historical documents and archival materials.
324,"author or publish professional articles, internal documents, and instructional materials."
325,authorize payment of invoices or return of merchandise.
326,back up files from web sites to local directories for instant recovery in case of problems.
327,back up network data.
328,"bake, roast, broil, and steam meats, fish, vegetables, and other foods."
329,"become familiar with digging plans, machine capabilities and limitations, and with efficient and safe digging procedures in a given application."
330,"break systems into their component parts, assign numerical values to each component, and examine the mathematical relationships between them."
331,build and update digital databases.
332,"build, calibrate, maintain, troubleshoot, or repair electrical instruments or testing equipment."
333,buy merchandise or commodities for resale to wholesale or retail consumers.
334,"buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers."
335,calculate amount of debt and funds available to plan methods of payoff and to estimate time for debt liquidation.
336,"calculate amounts of required materials and estimate costs, based on surface measurements or work orders."
337,"calculate and quote rates for tours, stocks, insurance policies, or other products or services."
338,"calculate costs of materials, overhead, and other expenses, based on estimates, quotations and price lists."
339,calculate costs or savings for water- or energy-efficient appliances or systems.
340,"calculate dimensions or tolerances, using instruments such as micrometers or vernier calipers."
341,"calculate dimensions, square footage, profile and component specifications, and material quantities using calculator or computer."
342,"calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers."
343,calculate load estimates or equipment requirements to determine required control settings.
344,calculate material requirements or yields according to formulas.
345,"calculate orbits and determine sizes, shapes, brightness, and motions of different celestial bodies."
346,calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.
347,"calculate potential solar resources or solar array production for a particular site considering issues such as climate, shading, and roof orientation."
348,"calculate premiums, refunds, commissions, adjustments, and new reserve requirements, using insurance rate standards."
349,"calculate purchase subtotals, taxes, and shipping costs for submission to customers."
350,calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.
351,"calculate test result values, using standard formulas."
352,"calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures."
353,"calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators."
354,"calibrate and align components, using scales, gauges, and other measuring instruments."
355,"calibrate and test equipment, and locate circuit and component faults, using hand and power tools and measuring and testing instruments such as resistance meters and oscilloscopes."
356,"calibrate and verify accuracy of light meters, shutter diaphragm operation, or lens carriers, using timing instruments."
357,calibrate data collection equipment.
358,"calibrate or adjust equipment to ensure quality production, using tools such as calipers, micrometers, height gauges, protractors, or ring gauges."
359,calibrate testing instruments and installed or repaired equipment to prescribed specifications.
360,calibrate testing instruments.
361,"calibrate, troubleshoot, or repair equipment and correct malfunctions as needed."
362,"call on policyholders to deliver and explain policy, to analyze insurance program and suggest additions or changes, or to change beneficiaries."
363,"care for children or elderly persons by overseeing their activities, providing companionship, and assisting them with dressing, bathing, eating, and other needs."
364,change dressings on wounds.
365,change dressings.
366,"change processes such as drying, grading, storing, or shipping to improve efficiency or profitability."
367,check adhesives to ensure that they will work and will remain durable.
368,"check air pressure in vehicle tires; and levels of fuel, motor oil, transmission, radiator, battery, and other fluids; and add air, oil, water, or other fluids, as required."
369,check and analyze operating system or application logfiles regularly to verify proper system performance.
370,check and approve the quality of diagnostic images before patients are discharged.
371,"check completed work for spelling, grammar, punctuation, and format."
372,"check computations of interest accrued, premiums due, and settlement surrender on loan values."
373,"check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices."
374,"check data input or verify totals on forms prepared by others to detect errors in arithmetic, data entry, or procedures."
375,"check electrical installation for proper wiring, polarity, grounding, or integrity of terminations."
376,check identification of customers to verify age requirements for purchase of alcohol.
377,check import or export documentation to determine cargo contents and use tariff coding system to classify goods according to fee or tariff group.
378,"check original texts or confer with authors to ensure that translations retain the content, meaning, and feeling of the original material."
379,"check raw ingredients for maturity or stability for processing and finished products for safety, quality, and nutritional value."
380,"check reference materials, such as books, news files, or public records, to obtain relevant facts."
381,check specifications of materials loaded or unloaded against information contained in work orders.
382,check the air quality of ventilation systems and make adjustments to ensure compliance with mandated safety codes.
383,check the quality of raw or cooked food products to ensure that standards are met.
384,check translations of technical terms and terminology to ensure that they are accurate and remain consistent throughout translation revisions.
385,check with employers or other references to verify answers and obtain further information.
386,"choose subject matter and suitable form to express personal feelings and experiences or ideas, or to narrate stories or events."
387,classify and catalog items according to content and purpose.
388,"classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers."
389,clean and disinfect domestic basements and other areas flooded by sewer stoppages.
390,"clean and sterilize scissors, combs, clippers, and other instruments."
391,"clean objects, such as paper, textiles, wood, metal, glass, rock, pottery, and furniture, using cleansers, solvents, soap solutions, and polishes."
392,"clean, cut, and cook meat, fish, or poultry."
393,coach client representatives in effective communication with the public or with employees.
394,coach senior executives and managers on leadership and performance.
395,"code, classify, and catalog books, publications, films, audio-visual aids, and other library materials based on subject matter or standard library classification systems."
396,"code, evaluate, or interpret collected study data."
397,collaborate with artists to achieve appropriate visual style.
398,collaborate with colleagues and community agencies to address teaching and research issues.
399,collaborate with colleagues to address teaching and research issues.
400,"collaborate with colleagues to exchange information, such as selling strategies or marketing information."
401,collaborate with computer manufacturers and other users to develop new programming methods.
402,collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.
