,task_name
83,"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles."
84,"analyze a script, noting events that affect each character's appearance, so that plans can be made for each scene."
85,analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.
86,"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services."
87,analyze and classify risks and investments to determine their potential impacts on companies.
88,"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders."
89,analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.
90,analyze and evaluate robotic systems or prototypes.
91,"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment."
92,"analyze and implement engineering designs for producing electronic devices and systems and microprocessor-based control applications, applying principles of mathematics, digital signal processing, network analysis, and computer engineering."
93,analyze and interpret data to increase the understanding of human social behavior.
94,analyze and interpret news and information received from various sources to broadcast the information.
95,"analyze and interpret patient, nursing, or information systems data to improve nursing services."
96,"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses."
97,"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs)."
98,analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.
99,"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use."
100,analyze and record personnel or operational data and write related activity reports.
101,"analyze and record test data to issue reports that use charts, graphs, or narratives."
102,analyze and report computer network security breaches or attempted breaches.
103,analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.
104,"analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates."
105,"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs."
106,"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice."
107,analyze changes designed to improve the environmental performance of complex systems to avoid unintended negative consequences.
108,analyze characteristics of animals to identify and classify them.
109,"analyze chromosomes found in biological specimens to aid diagnoses and treatments for genetic diseases such as congenital birth defects, fertility problems, and hematological disorders."
110,analyze clinical data using appropriate statistical tools.
111,"analyze clinical or survey data using statistical approaches such as longitudinal analysis, mixed effect modeling, logistic regression analyses, and model building techniques."
112,"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan."
113,"analyze competitive market strategies through analysis of related product, market, or share trends."
114,analyze completed police reports to determine what additional information and investigative work is needed.
115,"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation."
116,"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research."
117,"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure."
118,analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.
119,"analyze data from surveys, old records, or case studies, using statistical software."
120,"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems."
121,analyze data to assess distance learning program status or to inform decisions for distance learning programs.
122,analyze data to determine answers to questions from customers or members of the public.
123,analyze data to determine feasibility of product proposals.
124,analyze data to determine the effectiveness of specific treatments or therapy approaches.
125,analyze data to determine the effectiveness of treatments or therapy approaches.
126,"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects."
127,"analyze data, using statistical methods and applications, to evaluate the outcomes and effectiveness of workplace programs."
128,analyze details of sales territories to assess their growth potential and to set quotas.
129,"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits."
130,analyze developments in specific field to determine need for revisions in previously published materials and development of new material.
131,"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility."
132,analyze employment-related data and prepare required reports.
133,analyze energy bills including utility rates or tariffs to gather historical energy usage data.
134,analyze equipment performance records to assess equipment functioning.
135,analyze equipment performance records to determine the need for repair or replacement.
136,analyze existing development or manufacturing procedures and suggest improvements.
137,"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services."
138,analyze experimental data and interpret results to write reports and summaries of findings.
139,"analyze factors such as weather reports, fuel requirements, or maps to determine air routes."
140,analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.
141,"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans."
142,"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures."
143,analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.
144,analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.
145,analyze genetic information to identify patients or families at risk for specific disorders or syndromes.
146,"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales."
147,"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data."
148,analyze green product marketing or sales trends to forecast future conditions.
149,"analyze historical climate information, such as precipitation or temperature records, to help predict future weather or climate trends."
150,analyze information from traffic counting programs.
151,analyze information gathered by investigation and report findings and recommendations.
152,analyze information obtained from management to conceptualize and define operational problems.
153,"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering."
154,"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications."
155,"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system."
156,"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications."
157,"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions."
158,analyze laboratory findings to check the accuracy of the results.
159,"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes."
160,"analyze logistics data, using methods such as data mining, data modeling, or cost or benefit analysis."
161,analyze market conditions to determine optimum times to execute securities transactions.
162,"analyze menus or recipes, standardize recipes, or test new products."
163,analyze monthly department budgeting and accounting reports to maintain expenditure controls.
164,"analyze network data to determine network usage, disk space availability, or server function."
165,analyze new medical procedures to forecast likely outcomes.
166,"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."
167,analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.
168,"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing."
169,"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques."
170,analyze or synthesize client data to draw conclusions or make recommendations for art therapy.
171,analyze or synthesize client data to draw conclusions or make recommendations for therapy.
172,"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques."
173,"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government."
174,"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color."
175,"analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure."
176,analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.
177,analyze patrons' requests to determine needed information and assist in furnishing or locating that information.
178,"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials."
179,analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.
180,analyze potential loan markets and develop referral networks to locate prospects for loans.
181,analyze potential loan markets to find opportunities to promote loans and financial services.
182,analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.
183,"analyze price proposals, financial reports, and other data and information to determine reasonable prices."
184,analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.
185,analyze problems to develop solutions involving computer hardware and software.
186,analyze product complaints and make recommendations regarding their reportability.
187,"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs."
188,"analyze records, reports, test results, or examination information to diagnose medical condition of patient."
189,"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints."
190,"analyze research data to determine its significance, using computers."
191,analyze samples of biological material for chemical content or reaction.
192,"analyze samples, such as air or water samples, for contaminants or other elements."
193,analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.
194,analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.
195,analyze system performance or operational requirements.
196,analyze target companies or investment opportunities to inform investment decisions.
197,analyze technology trends to identify markets for future product development or to improve sales of existing products.
198,"analyze test data for automotive systems, subsystems, or component parts."
199,"analyze test data, making computations as necessary, to determine test results."
200,analyze test results and develop a treatment plan.
201,"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems."
202,analyze the effectiveness of marketing tactics or channels.
203,"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed."
204,"analyze the financial impact of proposed logistics changes, such as routing, shipping modes, product volumes or mixes, or carriers."
205,"analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions."
206,"analyze the layout, instrumentation, or function of electrical generation or transmission facilities."
207,"analyze the probable outcomes of cases, using knowledge of legal precedents."
208,"analyze training needs to design employee development, language training and health and safety programs."
209,analyze training needs to develop new training programs or modify and improve existing programs.
210,"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments."
211,analyze user needs and recommend appropriate hardware.
212,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
213,analyze user needs to determine technical requirements.
214,analyze x-rays to locate the sources of patients' difficulties and to rule out fractures or diseases as sources of problems.
215,"analyze, estimate, or report production costs."
216,"analyze, fabricate, or test fiber-optic links."
217,"analyze, interpret, or create graphical representations of energy data, using engineering software."
218,"analyze, interpret, or disseminate system performance data."
219,"announce musical selections, station breaks, commercials, or public service information, and accept requests from listening audience."
220,answer applicants' questions about benefits and claim procedures.
221,answer clients' questions about the purposes and details of financial plans and strategies.
222,"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals."
223,"answer customer inquiries or explain cost, availability, policies, and procedures of facilities."
224,"answer customer questions related to energy sales procedures, energy markets, or alternative energy sources."
225,answer customers' questions about merchandise and advise customers on merchandise selection.
226,"answer customers' questions about products, prices, availability, or credit terms."
227,"answer customers' questions about products, prices, availability, product uses, and credit terms."
228,"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities."
229,"answer customers' questions, and provide information on procedures or policies."
230,"answer inquiries from current or prospective customers regarding methods, materials, or price ranges."
231,"answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines."
232,answer inquiries from the public concerning animal control operations.
233,"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints."
234,"answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment."
235,"answer inquiries regarding information such as schedules, accommodations, procedures, and policies."
236,"answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules."
237,answer questions about product features and benefits.
238,answer questions about records or files.
239,answer questions and provide future tax planning to clients.
240,"answer questions from passengers concerning train rules, stations, and timetable information."
241,answer questions from taxpayers and assist them in completing tax forms.
242,answer questions from the public and media.
243,"answer questions or provide advice to the public regarding licensing policies, procedures, or regulations."
244,"answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information."
245,"answer questions regarding mail regulations and procedures, postage rates, and post office boxes."
246,answer questions regarding the store and its merchandise.
247,"answer telephone calls to take messages, answer questions, and provide information during non-business hours or when switchboard is closed."
248,answer telephones and direct calls to appropriate staff.
249,"answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals."
250,"answer telephones, and route calls or deliver messages."
251,"answer telephones, direct calls, and take messages."
252,"answer telephones, responding to questions or requests."
253,answer user inquiries regarding computer software or hardware operation to resolve problems.
254,"apply analytic methods or tools to understand, predict, or control logistics operations or processes."
255,"apply caulk, sealants, or other agents to installed surfaces."
256,"apply elements of music theory to create musical and tonal structures, including harmonies and melodies."
257,apply finger and hand pressure to specific points of the body.
258,"apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation."
259,"apply meteorological knowledge to issues such as global warming, pollution control, or ozone depletion."
260,"apply modeling or quantitative analysis to forecast events, such as human decisions or behaviors, the structure or processes of organizations, or the attitudes or actions of human groups."
261,"apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells."
262,"apply relevant laws, regulations, policies, or precedents to reach conclusions."
263,apply research or simulation results to extend biological theory or recommend new research projects.
264,apply selected research findings to practice.
265,"apply standardized mathematical formulas, principles, and methodology to the solution of technological problems involving engineering or physical science."
266,"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters."
267,"apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses."
268,"appraise property values, assessing income potential when relevant."
269,"approve, prepare, monitor, and adjust operational budgets."
270,"arrange and mount typeset material and illustrations into paste-ups for printing reproduction, based on artists' or editors' layouts."
271,"arrange conference, meeting, or travel reservations for office personnel."
272,"arrange financing of deals from sources such as financial institutions, agencies, or public or private companies."
273,arrange for advertising or posting of job vacancies and notify eligible workers of position availability.
274,arrange for financing of property purchases.
275,"arrange for special transport of sensitive cargoes, such as livestock, food, or medical supplies."
276,"arrange tours, taxis, or restaurant reservations for customers."
277,"ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency."
278,ask questions that will help clients identify their feelings and behaviors.
279,"assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts."
280,"assemble, maintain, or distribute information for library or record systems."
281,"assemble, operate, or maintain field or laboratory testing, measuring, or mechanical equipment."
282,"assemble, test, or maintain circuitry or electronic components, according to engineering instructions, technical manuals, or knowledge of electronics, using hand or power tools."
283,"assemble, typeset, scan and produce digital camera-ready art or film negatives and printer's proofs."
284,assess cardiac physiology and calculate valve areas from blood flow velocity measurements.
285,"assess clients' overall financial situation by reviewing income, assets, debts, expenses, credit reports, or other financial information."
286,"assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops."
287,"assess current or future customer needs and priorities through communicating directly with customers, conducting surveys, or other methods."
288,"assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction."
289,"assess electrical components for consumer electronics applications, such as fuel cells for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers."
290,"assess nutritional needs of patients, plan special menus, supervise the assembly of regular and special diet trays, and oversee the delivery of food trolleys to hospital patients."
291,"assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling."
292,assess patients for risk of suicide attempts.
293,"assess project feasibility by analyzing technology, resource needs, and market demand."
294,assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.
295,assess students' dancing abilities to determine where improvement or change is needed.
296,"assess the costs and benefits of various activities, policies, or regulations that affect the environment or natural resource stocks."
297,"assess the identity, strength, or purity of medications."
298,assess the nature and level of threats so that the scope of the problem can be determined.
299,assess the usefulness of pre-developed application packages and adapt them to a user environment.
300,assist clients in obtaining insurance reimbursements.
301,assist customers by providing information and resolving their complaints.
302,"assist engineers in the design, configuration, or application of robotic systems."
303,"assist engineers to design or develop electrochemical devices, such as solid oxide membranes or other products for sustainable applications."
304,"assist in delivery, care, or feeding of infants."
305,assist in laying out material for publication.
306,assist in locating housing for displaced individuals.
307,"assist in planning food budgets, using charts or sample budgets."
308,assist in selection of financial award candidates using electronic databases to certify loan eligibility.
309,assist in setting up or optimizing analytics tools for tracking visitors' behaviors.
310,"assist in the assessment, acquisition, or deployment of new electronic document management systems."
311,assist individuals in filling out applications or questionnaires.
312,"assist nanoscientists, engineers, or technologists in writing process specifications or documentation."
313,assist patients in organizing their health care system activities.
314,assist scientists or engineers in the conduct of photonic experiments.
315,assist students who need extra help with their coursework outside of class.
316,"attend book launches and publicity events, or conduct public readings."
317,attend investment briefings or consult financial media to stay abreast of relevant investment markets.
318,attend or make presentations at community events to promote funeral home services or build community relationships.
319,attend or view productions to maintain knowledge of available actors.
320,"attend to the needs of the bereaved, such as by offering comfort, counseling, or after care programs."
321,authenticate and appraise historical documents and archival materials.
322,"author or publish professional articles, internal documents, and instructional materials."
323,authorize payment of invoices or return of merchandise.
324,back up files from web sites to local directories for instant recovery in case of problems.
325,back up network data.
326,"bake, roast, broil, and steam meats, fish, vegetables, and other foods."
327,"become familiar with digging plans, machine capabilities and limitations, and with efficient and safe digging procedures in a given application."
328,"break systems into their component parts, assign numerical values to each component, and examine the mathematical relationships between them."
329,broadcast weather reports and warnings.
330,"build and maintain databases of information about energy alternatives, pollutants, natural environments, industrial processes, and other information related to ecological change."
331,build and update digital databases.
332,build or assemble robotic devices or systems.
333,"build, calibrate, maintain, troubleshoot, or repair electrical instruments or testing equipment."
334,"buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers."
335,calculate amount of debt and funds available to plan methods of payoff and to estimate time for debt liquidation.
336,"calculate amounts of required materials and estimate costs, based on surface measurements or work orders."
337,"calculate and prepare checks for utilities, taxes, and other payments."
338,"calculate and quote rates for tours, stocks, insurance policies, or other products or services."
339,"calculate costs of materials, overhead, and other expenses, based on estimates, quotations and price lists."
340,"calculate costs of orders, and charge or forward invoices to appropriate accounts."
341,calculate costs or savings for water- or energy-efficient appliances or systems.
342,"calculate dimensions or tolerances, using instruments such as micrometers or vernier calipers."
343,"calculate dimensions, square footage, profile and component specifications, and material quantities using calculator or computer."
344,"calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers."
345,calculate load estimates or equipment requirements to determine required control settings.
346,calculate material requirements or yields according to formulas.
347,"calculate orbits and determine sizes, shapes, brightness, and motions of different celestial bodies."
348,calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.
349,"calculate potential solar resources or solar array production for a particular site considering issues such as climate, shading, and roof orientation."
350,"calculate premiums, refunds, commissions, adjustments, and new reserve requirements, using insurance rate standards."
351,calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.
352,"calculate revenue, sales, and expenses, using financial accounting or spreadsheet software."
353,"calculate test result values, using standard formulas."
354,"calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures."
355,"calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators."
356,calibrate data collection equipment.
357,"calibrate liquid flow devices or meters, including fuel, chemical, and water meters."
358,"calibrate or adjust equipment to ensure quality production, using tools such as calipers, micrometers, height gauges, protractors, or ring gauges."
359,calibrate testing instruments and installed or repaired equipment to prescribed specifications.
360,calibrate testing instruments.
361,"calibrate, troubleshoot, or repair equipment and correct malfunctions as needed."
362,"calibrate, validate, or maintain laboratory equipment."
363,"care for children or elderly persons by overseeing their activities, providing companionship, and assisting them with dressing, bathing, eating, and other needs."
364,change dressings on wounds.
365,"change processes such as drying, grading, storing, or shipping to improve efficiency or profitability."
366,"check all layers of maps to ensure accuracy, identifying and marking errors and making corrections."
367,check and analyze operating system or application logfiles regularly to verify proper system performance.
368,"check completed work for spelling, grammar, punctuation, and format."
369,"check computations of interest accrued, premiums due, and settlement surrender on loan values."
370,"check data input or verify totals on forms prepared by others to detect errors in arithmetic, data entry, or procedures."
371,"check electrical installation for proper wiring, polarity, grounding, or integrity of terminations."
372,check identification of customers to verify age requirements for purchase of alcohol.
373,check import or export documentation to determine cargo contents and use tariff coding system to classify goods according to fee or tariff group.
374,"check original texts or confer with authors to ensure that translations retain the content, meaning, and feeling of the original material."
375,"check reference materials, such as books, news files, or public records, to obtain relevant facts."
376,check the quality of raw or cooked food products to ensure that standards are met.
377,check translations of technical terms and terminology to ensure that they are accurate and remain consistent throughout translation revisions.
378,"choose subject matter and suitable form to express personal feelings and experiences or ideas, or to narrate stories or events."
379,classify and catalog items according to content and purpose.
380,"classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers."
381,clean and disinfect domestic basements and other areas flooded by sewer stoppages.
382,"clean, cut, and cook meat, fish, or poultry."
383,coach client representatives in effective communication with the public or with employees.
384,coach senior executives and managers on leadership and performance.
385,"code, classify, and catalog books, publications, films, audio-visual aids, and other library materials based on subject matter or standard library classification systems."
386,"code, evaluate, or interpret collected study data."
387,collaborate in research studies.
388,"collaborate with a manager or agent who handles administrative details, finds work, and negotiates contracts."
389,collaborate with artists to achieve appropriate visual style.
390,collaborate with biologists and other professionals to conduct appropriate genetic and biochemical analyses.
391,collaborate with colleagues and community agencies to address teaching and research issues.
392,collaborate with colleagues to address teaching and research issues.
393,"collaborate with colleagues to exchange information, such as selling strategies or marketing information."
394,collaborate with computer manufacturers and other users to develop new programming methods.
395,"collaborate with electrical engineers or other personnel to identify, define, or solve developmental problems."
396,collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.
397,collaborate with field staff or customers to evaluate or diagnose problems and recommend possible solutions.
398,"collaborate with general dentists, specialists, and other health professionals to develop solutions to dental and oral health concerns."
399,"collaborate with graphic artists, editors and writers to produce master copies according to design specifications."
400,"collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions."
401,collaborate with management or users to develop e-commerce strategies and to integrate these strategies with web sites.
402,collaborate with other astronomers to carry out research projects.
403,"collaborate with other authorities on activities such as surveillance, transcription, and research."
404,collaborate with other health care professionals to develop and revise treatment plans based on identified needs and assessment data.
405,"collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives."
406,collaborate with other ministry members to establish goals and objectives for religious education programs or to develop ways to encourage program participation.
407,"collaborate with other personnel to plan and develop recipes or menus, taking into account such factors as seasonal availability of ingredients or the likely number of customers."
408,collaborate with other professionals to evaluate patients' medical or physical condition and to assess client needs.
409,"collaborate with other professionals, such as restorative dentists and orthodontists, to plan treatment."
410,"collaborate with other researchers in the planning, implementation, and evaluation of surveys."
411,"collaborate with other scientists in the design, development, and testing of experimental, industrial, or medical equipment, instrumentation, and procedures."
412,"collaborate with other staff to assist in the development and implementation of goals, objectives, policies, or priorities."
